詞語,語氣類別
網拍,N/A
網站,N/A
網路,N/A
網購,N/A
罰款,N/A
趕快,催促
趕緊,催促
銀行,假冒?
銀行客服,假冒?
需先,N/A
需協助,N/A
需繳,N/A
領回,N/A
領取,N/A
領獎,N/A
價值,N/A
增加,N/A
審查,N/A
影響,N/A
撐不下去,求助
撕票,恐嚇
撥款,N/A
暫時,N/A
暫停,N/A
獎金,誘導
獎品,誘導
獎勵,誘導
確保,N/A
確認,N/A
編號,N/A
調查,N/A
調查局,假冒
調整,N/A
請,指示
請勿,指示
請加,N/A
請先,N/A
請將,N/A
請點擊,N/A
賠申,N/A
賠金,N/A
賠金額,N/A
賠款,N/A
賠償,N/A
賣家,N/A
餘額,N/A
儘早,催促
儘快,催促
學校,N/A
操作,N/A
擔保,N/A
機會,N/A
機構,N/A
親愛的,假冒
親屬,N/A
辦理,N/A
錯過,誘導
錯誤,N/A
險理,N/A
險額度,N/A
優先,N/A
優惠,誘導
儲蓄,N/A
壓力,N/A
幫忙,求助
應急,N/A
檢察官,假冒?
獲得,N/A
獲現,N/A
聯絡,N/A
舉目無親,求助
購物,N/A
購物網客服,假冒
購買,N/A
避免,N/A
還有,N/A
點擊,N/A
禮券,N/A
簡訊,N/A
翻倍,誘導
豐厚,誘導
轉至,N/A
轉帳 ,指示
醫院,N/A
醫療,N/A
鎖定,N/A
額外,N/A
額度,N/A
懷疑,N/A
穩賺,誘導
穩賺不賠,誘導
簽署,N/A
繳交,N/A
繳保費,N/A
繳納,N/A
繳清,N/A
繳款,N/A
繳費,N/A
證件,N/A
證字號,N/A
證明,N/A
證金,N/A
證碼,N/A
贈送,誘導
關款,N/A
寶貝,假冒
繼續,N/A
警方,N/A
警告,N/A
警官,假冒
警員,假冒
警察,假冒
警察局,假冒
續保,N/A
續訂,N/A
續期,N/A
權益,N/A
贖金,N/A
顯示,N/A
驗證,N/A
