詞語,語氣類別
保證金 ,誘餌
信用,
信用卡,
孩子,
客戶,
客服,假冒
客服 ,假冒
客服中心,假冒
客服專線,假冒
建議,
後果自負,恐嚇
後悔,誘導
急需,
拜託,求助
指示,
指定,
按照,指示
政府,
故障,
查到,
查封,恐嚇
洗錢,
活動,誘導
流程,
相信,
相關,
秒殺,催促
紀錄,
紅包,誘導
要求,
訂單,
訂購,
計畫,
重大,
重要,
重新,
限時,誘導
限期,
限量,誘導
凍結,恐嚇?
員警,假冒?
家人,
差額,
恭喜,誘導
效力,
旅遊,
時間,
核准,
核對,
案件,
海外,
海關,假冒
消息,
涉及,
涉嫌,
病毒,
租金,
納保證,
退回,
退保,
退款,
退費,
退還,
配合,指示
配送,
馬上,催促
高回報,誘導
高收益,誘導
高額,
停用,
停機,恐嚇?
偵查科,假冒
偵測,
偵辦,
勒令,恐嚇?
務必,指示
參加,
唯一,
商品,
問題,
啟用,
寄送,
密碼,
將持續,
將終,
專員,假冒
專案,
專線,
帳戶 ,指示
帳號,
強制,
強制執行,恐嚇
推薦,
救命,求助
救救我,求助
晚點,
猜猜我是誰,假冒
現金,誘導
理將,
理理,
理賠,
產生,
異地,
異常,
終止,
處理,
規定,
責任,
軟體,
透過,
這是,
這個,
這筆,
這邊,
通知,
通訊管理局,假冒?
通過,
通緝,恐嚇
通緝 ,恐嚇
連結,
部分,
麻煩,
單作,
單將,
單線聯繫,指示
報酬,
報警,
尊敬,
提交,
提高,
提醒,
提醒您,
最近,
最後機會,誘導
最新,
期未,
無法,
無風險,誘導
無路可走,求助
無親無故,求助
登入,
發布,
發生,
發現,
發誓,求助
盜用,
稅金,
稅務局,假冒
稅款,
程序,
等待,
結算,
給你,
訴訟,
詐騙,
貴賓,
貸款,
費以,
費用,
超商,
進行,
郵件,
開口,
項目,
須先,
傳票,
僅需,誘導
匯入,
匯款,
填寫,
媽,假冒
意外,
感謝,
損失,
準備,
當天,
禁止,指示
經查,
經紀,
經理,假冒
經濟,
萬元,
號碼,
補助,誘導
補貼,誘導
補辦,
補繳,
解決,
解除,
解鎖,
資金,
資格,
資訊,
資訊以,
逾期,
遇到,
運費,
過期,
違約金,
零風險,
電子,
電腦,
電話,
團隊,
境外,
墊付,
對方,
盡快,
監控,
監管 ,恐嚇
福利,誘導
管理員,假冒
網拍,
網站,
網路,
網購,
罰款,
趕快,催促
趕緊,催促
銀行,假冒?
銀行客服,假冒?
需先,
需協助,
需繳,
領回,
領取,
領獎,
價值,
增加,
審查,
影響,
撐不下去,求助
撕票,恐嚇
撥款,
暫時,
暫停,
獎金,誘導
獎品,誘導
獎勵,誘導
確保,
確認,
編號,
調查,
調查局,假冒
調整,
請,指示
請勿,指示
請加,
請先,
請將,
請點擊,
賠申,
賠金,
賠金額,
賠款,
賠償,
賣家,
餘額,
儘早,催促
儘快,催促
學校,
操作,
擔保,
機會,
機構,
親愛的,假冒
親屬,
辦理,
錯過,誘導
錯誤,
險理,
險額度,
優先,
優惠,誘導
儲蓄,
壓力,
幫忙,求助
應急,
檢察官,假冒?
獲得,
獲現,
聯絡,
舉目無親,求助
購物,
購物網客服,假冒
購買,
避免,
還有,
點擊,
禮券,
簡訊,
翻倍,誘導
豐厚,誘導
轉至,
轉帳 ,指示
醫院,
醫療,
鎖定,
額外,
額度,
懷疑,
穩賺,誘導
穩賺不賠,誘導
簽署,
繳交,
繳保費,
繳納,
繳清,
繳款,
繳費,
證件,
證字號,
證明,
證金,
證碼,
贈送,誘導
關款,
寶貝,假冒
繼續,
警方,
警告,
警官,假冒
警員,假冒
警察,假冒
警察局,假冒
續保,
續訂,
續期,
權益,
贖金,
顯示,
驗證,
